source,target,weight,annee,mois,commentaire
CERBERE,PARIS AUSTERLITZ,100.0,2016,3,
CHERBOURG,PARIS ST LAZARE,88.9,2016,3,
GRANVILLE,PARIS VAUGIRARD,90.8,2016,3,
HENDAYE,TOULOUSE MATABIAU,89.7,2016,3,
PARIS NORD,AMIENS,77.5,2016,3,
PARIS NORD,MAUBEUGE,86.6,2016,3,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,89.2,2016,3,
TROYES,PARIS EST,95.6,2016,3,
CAEN,TOURS,80.6,2016,4,
CLERMONT FERRAND,PARIS BERCY,87.1,2016,4,
GRANVILLE,PARIS VAUGIRARD,87.6,2016,4,
LE HAVRE,PARIS ST LAZARE,90.0,2016,4,
MAUBEUGE,PARIS NORD,89.2,2016,4,
NÎMES,CLERMONT FERRAND,95.0,2016,4,
PARIS AUSTERLITZ,ORLÉANS,83.3,2016,4,
PARIS AUSTERLITZ,TOURS,76.6,2016,4,
PARIS AUSTERLITZ,BOURGES,94.6,2016,4,
PARIS NORD,MAUBEUGE,88.2,2016,4,
BOURGES,PARIS AUSTERLITZ,86.5,2016,5,
CAEN,TOURS,80.7,2016,5,
CLERMONT FERRAND,BÉZIERS,100.0,2016,5,
LE HAVRE,PARIS ST LAZARE,79.8,2016,5,
LYON PART DIEU,NANTES,85.4,2016,5,
NANTES,LYON PART DIEU,94.8,2016,5,
NÎMES,CLERMONT FERRAND,92.6,2016,5,
PARIS AUSTERLITZ,TOURS,85.5,2016,5,
PARIS EST,TROYES,77.3,2016,5,
ROUEN,PARIS ST LAZARE,93.1,2016,5,
TOURS,CAEN,87.0,2016,5,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,90.3,2016,5,
TROYES,PARIS EST,80.1,2016,5,
CLERMONT FERRAND,BÉZIERS,88.9,2016,6,
LE HAVRE,PARIS ST LAZARE,70.6,2016,6,
NANTES,LYON PART DIEU,85.7,2016,6,
NANTES,BORDEAUX ST JEAN,83.3,2016,6,
NICE,BORDEAUX ST JEAN,41.9,2016,6,
PARIS EST,TROYES,77.4,2016,6,
PARIS NORD,MAUBEUGE,81.9,2016,6,
PARIS ST LAZARE,ROUEN,87.2,2016,6,
TROYES,PARIS EST,79.7,2016,6,
CAEN,PARIS ST LAZARE,90.6,2016,7,
LIMOGES,BORDEAUX ST JEAN,93.5,2016,7,
LYON PART DIEU,NANTES,86.0,2016,7,
MAUBEUGE,PARIS NORD,92.0,2016,7,
NEVERS,PARIS BERCY,89.5,2016,7,
PARIS NORD,AMIENS,92.9,2016,7,
PARIS NORD,BOULOGNE,89.4,2016,7,
PARIS ST LAZARE,CAEN,80.9,2016,7,
AMIENS,PARIS NORD,87.8,2016,8,
BELFORT,PARIS EST,77.1,2016,8,
CAEN,PARIS ST LAZARE,90.7,2016,8,
LE HAVRE,PARIS ST LAZARE,93.8,2016,8,
NANTES,LYON PART DIEU,89.2,2016,8,
NÎMES,CLERMONT FERRAND,29.4,2016,8,
PARIS AUSTERLITZ,TOURS,73.1,2016,8,
PARIS BERCY,CLERMONT FERRAND,92.5,2016,8,
TOURS,CAEN,82.0,2016,8,
BORDEAUX ST JEAN,NANTES,80.7,2016,9,
BOULOGNE,PARIS NORD,86.1,2016,9,
CAEN,TOURS,76.0,2016,9,
CLERMONT FERRAND,NÎMES,90.0,2016,9,
GRANVILLE,PARIS VAUGIRARD,87.9,2016,9,
LYON PART DIEU,NANTES,85.7,2016,9,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,88.5,2014,3,
PARIS AUSTERLITZ,CERBERE,95.2,2014,3,
TOULOUSE MATABIAU,HENDAYE,96.7,2014,3,
PARIS ST LAZARE,CHERBOURG,91.7,2014,4,
BORDEAUX ST JEAN,NANTES,87.0,2014,4,
CERBERE,PARIS AUSTERLITZ,92.3,2014,4,
PARIS NORD,AMIENS,88.2,2014,4,
PARIS BERCY,NEVERS,93.3,2014,3,
CLERMONT FERRAND,BÉZIERS,100.0,2014,4,
NANTES,LYON PART DIEU,100.0,2014,3,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,82.5,2014,10,
PARIS AUSTERLITZ,BOURGES,88.4,2014,10,
PARIS AUSTERLITZ,TOURS,77.3,2014,10,
PARIS ST LAZARE,CHERBOURG,82.3,2014,10,
PARIS ST LAZARE,ROUEN,82.8,2014,10,
PARIS ST LAZARE,CAEN,80.3,2014,10,
NICE,BORDEAUX ST JEAN,79.1,2014,10,
LIMOGES,BORDEAUX ST JEAN,93.5,2014,10,
PARIS EST,TROYES,79.4,2014,10,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,89.2,2014,7,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,86.3,2014,7,
PARIS AUSTERLITZ,ORLÉANS,68.1,2014,7,
PARIS ST LAZARE,LE HAVRE,89.4,2014,7,
HENDAYE,TOULOUSE MATABIAU,82.3,2014,7,
LE HAVRE,PARIS ST LAZARE,91.2,2014,7,
CLERMONT FERRAND,NÎMES,87.1,2014,7,
ROUEN,PARIS ST LAZARE,86.7,2014,7,
MAUBEUGE,PARIS NORD,92.1,2014,7,
LIMOGES,BORDEAUX ST JEAN,83.9,2014,7,
PARIS AUSTERLITZ,ORLÉANS,83.7,2014,2,
PARIS VAUGIRARD,GRANVILLE,93.3,2014,3,
CLERMONT FERRAND,PARIS BERCY,96.5,2014,3,
CERBERE,PARIS AUSTERLITZ,90.4,2014,3,
NANTES,BORDEAUX ST JEAN,89.1,2014,2,
LYON PART DIEU,NANTES,88.3,2014,2,
CAEN,PARIS ST LAZARE,91.5,2014,2,
PARIS BERCY,NEVERS,86.6,2014,2,
TROYES,PARIS EST,93.6,2014,2,
BÉZIERS,CLERMONT FERRAND,100.0,2014,3,
PARIS AUSTERLITZ,ORLÉANS,89.0,2014,8,
PARIS ST LAZARE,LE HAVRE,91.1,2014,8,
PARIS ST LAZARE,ROUEN,92.7,2014,8,
PARIS ST LAZARE,CAEN,91.7,2014,8,
NANTES,BORDEAUX ST JEAN,81.9,2014,8,
LYON PART DIEU,NANTES,95.1,2014,8,
